Player,Team,Update,Details,Date,Unnamed: 0,Name,Value,Prop
Day'Ron Sharpe,BKN,"Tue, Jan 9, 2024",Out (Knee) - The Nets announced that Sharpe has a hyperextended left knee and will be re-evaluated in approximately two weeks.,2024-01-30,,,,
LaMelo Ball,CHA,"Sun, Jan 28, 2024",Day To Day (Ankle) - Ball is questionable for Monday's (Jan. 29) game against New York.,2024-01-30,,,,
Gordon Hayward,CHA,"Thu, Dec 28, 2023",Out (Calf) - Hayward suffered a left calf strain. He is listed as out and will be reevaluated in two weeks,2024-01-30,,,,
Frank Ntilikina,CHA,"Sun, Jan 28, 2024",Day To Day (Hip) - Ntilikina is questionable for Monday's (Jan. 29) game against New York.,2024-01-30,,,,
Mark Williams,CHA,"Sun, Jan 7, 2024",Out (Back) - Williams hasn't played since Dec. 8 against Toronto and remains without a timetable to return.,2024-01-30,,,,
Lonzo Ball,CHI,"Tue, Nov 7, 2023",Out For Season (Knee) - Ball will miss the 2023-24 season while recovering from surgery.,2024-01-30,,,,
Torrey Craig,CHI,"Tue, Dec 19, 2023",Out (Foot) - Bulls announced Craig will be out after being diagnosed with an acute sprain of his right plantar fascia.,2024-01-30,,,,
Zach LaVine,CHI,"Fri, Jan 19, 2024","Out (Ankle) - LaVine is expected to miss at least one-to-two weeks with a right ankle sprain, sources tell @TheAthletic @Stadium",2024-01-30,,,,
Patrick Williams,CHI,"Mon, Jan 29, 2024",Out (Foot) - Williams is out for Tuesday's (Jan. 30) game against Toronto.,2024-01-30,,,,
Darius Garland,CLE,"Fri, Dec 15, 2023",Out (Jaw) - The Cavaliers announced Garland will miss a few weeks after sustaining a fractured jaw.,2024-01-30,,,,
Ty Jerome,CLE,"Sun, Nov 12, 2023",Out (Ankle) - Jerome has been out since Oct. 28 and remains without a timetable to return.,2024-01-30,,,,
Donovan Mitchell,CLE,"Sun, Jan 28, 2024",Day To Day (Groin) - Mitchell is probable for Monday's (Jan. 29) game against the Clippers.,2024-01-30,,,,
Evan Mobley,CLE,"Sun, Jan 28, 2024",Day To Day (Knee) - Mobley is questionable for Monday's (Jan. 29) game against the Clippers.,2024-01-30,,,,
Dante Exum,DAL,"Sun, Jan 28, 2024",Day To Day (Knee) - Exum is questionable for Monday's (Jan. 29) game against Orlando.,2024-01-30,,,,
Kyrie Irving,DAL,"Sun, Jan 28, 2024",Out (Thumb) - Irving is out for Monday's (Jan. 29) game against Orlando.,2024-01-30,,,,
Derrick Jones Jr.,DAL,"Sun, Jan 28, 2024",Day To Day (Wrist) - Jones Jr. is questionable for Monday's (Jan. 29) game against Orlando.,2024-01-30,,,,
Maxi Kleber,DAL,"Sun, Jan 28, 2024",Day To Day (Toe) - Kleber is probable for Monday's (Jan. 29) game against Orlando.,2024-01-30,,,,
Dwight Powell,DAL,"Sun, Jan 28, 2024",Day To Day (Eye) - Powell is questionable for Monday's (Jan. 29) game against Orlando.,2024-01-30,,,,
Vlatko Čančar,DEN,"Thu, Aug 17, 2023",Out (Knee) - The Nuggets announced that Cancar underwent surgery on his left knee and is out indefinitely.,2024-01-30,,,,
Julian Strawther,DEN,"Sun, Jan 7, 2024",Out (Knee) - Nuggets coach Michael Malone said there's no timetable for Strawther's return.,2024-01-30,,,,
Isaiah Stewart,DET,"Sun, Jan 28, 2024",Day To Day (Ankle) - Stewart left Sunday's (Jan. 28) game against Oklahoma City and will not return.,2024-01-30,,,,
Moses Moody,GSW,"Mon, Jan 22, 2024",Out (Calf) - Moody has been cleared to begin light individual on-court workouts and will be re-evaluated in one week.,2024-01-30,,,,
Chris Paul,GSW,"Tue, Jan 9, 2024",Out (Hand) - The Warriors announced that Paul will be re-evaluated again in three weeks.,2024-01-30,,,,
Gary Payton II,GSW,"Mon, Jan 22, 2024","Out (Hamstring) - Payton II will be re-evaluated in 2 weeks due to a left hamstring strain, per Warriors PR",2024-01-30,,,,
Tari Eason,HOU,"Wed, Jan 10, 2024",Out (Leg) - Rockets coach Ime Udoka said Eason needs a couple weeks to recover before returning to action.,2024-01-30,,,,
Victor Oladipo,HOU,"Tue, Oct 24, 2023",Out (Knee) - Oladipo is out while recovering from a left patellar tendon repair.,2024-01-30,,,,
Tyrese Haliburton,IND,"Tue, Jan 23, 2024",Out (Hamstring) - Pacers coach Rick Carlisle said Haliburton will miss the next three games.,2024-01-30,,,,
T.J. McConnell,IND,"Sun, Jan 28, 2024",Day To Day (Personal) - McConnell did not play in Sunday's (Jan. 28) game against Memphis.,2024-01-30,,,,
Myles Turner,IND,"Sun, Jan 28, 2024",Day To Day (Back) - Turner did not play in Sunday's (Jan. 28) game against Memphis.,2024-01-30,,,,
Moussa Diabaté,Los Angeles Clippers,"Mon, Dec 18, 2023",Out (Hip) - Diabate hasn't played since Nov. 30 against Golden State and remains without a timetable to return.,2024-01-30,,,,
Ivica Zubac,Los Angeles Clippers,"Tue, Jan 16, 2024",Out (Calf) - Zubac is out with a calf strain and will be re-evaluated in 4 weeks.,2024-01-30,,,,
Anthony Davis,LAL,"Sun, Jan 28, 2024",Day To Day (Achilles) - Davis is questionable for Monday's (Jan. 29) game against Houston.,2024-01-30,,,,
LeBron James,LAL,"Sun, Jan 28, 2024",Day To Day (Ankle) - James is questionable for Monday's (Jan. 29) game against Houston.,2024-01-30,,,,
Cam Reddish,LAL,"Fri, Jan 26, 2024",Out (Ankle) - The Lakers announced that Reddish was diagnosed with a right ankle sprain and will be re-evaluated in two weeks.,2024-01-30,,,,
Gabe Vincent,LAL,"Mon, Dec 25, 2023","Out (Knee) - Vincent will undergo surgery and miss 6-8 weeks, according to Shams Charania of The Athletic.",2024-01-30,,,,
Steven Adams,MEM,"Tue, Oct 24, 2023",Out For Season (Knee) - The Grizzlies announced that Adams will undergo season-ending surgery on his right knee.,2024-01-30,,,,
Desmond Bane,MEM,"Sun, Jan 14, 2024",Out (Ankle) - The Grizzlies announced that Bane has a left ankle sprain and will be re-evaluated in six weeks.,2024-01-30,,,,
Brandon Clarke,MEM,"Wed, Dec 20, 2023",Out (Achilles) - Clarke said he expects to make his season debut around the NBA All-Star break.,2024-01-30,,,,
Luke Kennard,MEM,"Mon, Jan 29, 2024",Out (Knee) - Kennard is OUT for Monday's (Jan. 29) game against Sacramento.,2024-01-30,,,,
John Konchar,MEM,"Mon, Jan 29, 2024",Day To Day (Ankle) - Konchar is doubtful for Monday's (Jan. 29) game against Sacramento.,2024-01-30,,,,
Jake LaRavia,MEM,"Sun, Jan 14, 2024",Out (Ankle) - The Grizzlies announced that LaRavis has a Grade 2 high left ankle sprain and will be re-evaluated in three weeks.,2024-01-30,,,,
Ja Morant,MEM,"Mon, Jan 8, 2024",Out For Season (Shoulder) - Grizzlies announced Ja Morant will undergo season-ending surgery on his shoulder.,2024-01-30,,,,
Derrick Rose,MEM,"Wed, Jan 3, 2024",Out (Hamstring) - The Grizzlies announced that Rose is week-to-week.,2024-01-30,,,,
Marcus Smart,MEM,"Thu, Jan 11, 2024","Out (Finger) - Smart suffered a severe right finger injury and will miss approximately six weeks, according to Shams Charania of The Athletic.",2024-01-30,,,,
Vince Williams Jr.,MEM,"Mon, Jan 29, 2024",Day To Day (Knee) - Williams Jr. is questionable for Monday's (Jan. 29) game against Sacramento.,2024-01-30,,,,
Ziaire Williams,MEM,"Mon, Jan 29, 2024",Day To Day (Hand) - Williams is doubtful for Monday's (Jan. 29) game against Sacramento.,2024-01-30,,,,
Dru Smith,MIA,"Fri, Nov 24, 2023",Out For Season (Knee) - Dru Smith has been diagnosed with a 3rd degree right knee sprain. He will be out for the remainder of the season.,2024-01-30,,,,
Giannis Antetokounmpo,MIL,"Sun, Jan 28, 2024",Day To Day (Illness) - Antetokounmpo is probable for Monday's (Jan. 29) game against Denver.,2024-01-30,,,,
Jaylen Clark,MIN,"Tue, Oct 24, 2023","Out (Achilles) - Clark is idle due to a right Achilles issue, and is not expected to make his season debut until sometime in February.",2024-01-30,,,,
Mike Conley,MIN,"Sun, Jan 28, 2024",Day To Day (Hamstring) - Conley is questionable for Monday's (Jan. 29) game against Oklahoma City.,2024-01-30,,,,
Julius Randle,NYK,"Mon, Jan 29, 2024","Out (Shoulder) - Randle is expected to miss at least a few weeks with a right shoulder dislocation, according to Adrian Wojnarowski of ESPN.",2024-01-30,,,,
Mitchell Robinson,NYK,"Wed, Dec 20, 2023","Out For Season (Ankle) - Robinson is expected to miss the rest of the season after undergoing ankle surgery last week, according to Shams Charania of The Athletic.",2024-01-30,,,,
Markelle Fultz,ORL,"Sun, Jan 28, 2024",Day To Day (Rest) - Fultz is questionable for Monday's (Jan. 29) game against Dallas.,2024-01-30,,,,
Gary Harris,ORL,"Sun, Jan 21, 2024",Out (Calf) - Harris hasn't played since Jan. 3 against Sacramento and remains without a timetable to return.,2024-01-30,,,,
Robert Covington,PHI,"Wed, Jan 24, 2024","Out (Knee) - Covington will be re-evaluated in 3-4 weeks, according to Derek Bodner of PHLY Sports.",2024-01-30,,,,
Joel Embiid,PHI,"Mon, Jan 29, 2024",Out (Knee) - Embiid is out for Monday's (Jan. 29) game against Portland.,2024-01-30,,,,
Tobias Harris,PHI,"Sun, Jan 28, 2024",Day To Day (Illness) - Harris is questionable for Monday's (Jan. 29) game against Portland.,2024-01-30,,,,
Kenneth Lofton Jr.,PHI,"Mon, Jan 29, 2024",Out (Personal) - Lofton hasn't played since Jan. 2 against Chicago and remains without a timetable to return.,2024-01-30,,,,
Tyrese Maxey,PHI,"Sun, Jan 28, 2024",Day To Day (Ankle) - Maxey is questionable for Monday's (Jan. 29) game against Portland.,2024-01-30,,,,
De'Anthony Melton,PHI,"Wed, Jan 24, 2024","Out (Back) - Melton will be re-evaluated in one week, according to Derek Bodner of PHLY Sports.",2024-01-30,,,,
Bol Bol,PHX,"Sun, Jan 28, 2024",Out (Foot) - Bol hasn't played since Jan. 11 against the Lakers and remains without a timetable to return.,2024-01-30,,,,
Damion Lee,PHX,"Sun, Oct 1, 2023",Out (Knee) - The Suns announced that Lee sustained a meniscus injury and will be out until further notice.,2024-01-30,,,,
Jusuf Nurkić,PHX,"Mon, Jan 29, 2024",Day To Day (Thumb) - Nurkic is questionable for Monday's (Jan. 29) game against Miami.,2024-01-30,,,,
Malcolm Brogdon,POR,"Mon, Jan 29, 2024",Day To Day (Knee) - Brogdon is Questionable for Monday's (Jan.29) game against Portland.,2024-01-30,,,,
Moses Brown,POR,"Mon, Jan 8, 2024",Out (Wrist) - The Trail Blazers announced that Brown will undergo surgery this week and a timeline for his return will be determined after surgery.,2024-01-30,,,,
Shaedon Sharpe,POR,"Mon, Jan 15, 2024",Out (Abdominal) - The Trail Blazers announced that Sharpe will be re-evaluated in two weeks after suffering a right abdominal strain.,2024-01-30,,,,
Robert Williams,POR,"Fri, Nov 10, 2023","Out For Season (Knee) - Williams III will be required to undergo season-ending knee surgery, per Adrian Wojnarowski.",2024-01-30,,,,
Sasha Vezenkov,SAC,"Sun, Jan 28, 2024",Day To Day (Ankle) - Vezenkov is questionable for Monday's (Jan. 29) game against Memphis.,2024-01-30,,,,
Charles Bassey,SAS,"Tue, Dec 12, 2023",Out For Season (Knee) - The San Antonio Spurs announced C Charles Bassey is out for the season with a torn ACL.,2024-01-30,,,,
Zach Collins,SAS,"Sun, Jan 28, 2024",Day To Day (Ankle) - Collins is questionable for Monday's (Jan. 29) game against Washington.,2024-01-30,,,,
RJ Barrett,TOR,"Mon, Jan 29, 2024",Day To Day (Knee) - Barrett did not play in Sunday's (Jan. 28) game against Atlanta.,2024-01-30,,,,
Jakob Poeltl,TOR,"Mon, Jan 29, 2024",Day To Day (Ankle) - Poeltl did not play in Sunday's (Jan. 28) game against Atlanta.,2024-01-30,,,,
Immanuel Quickley,TOR,"Mon, Jan 29, 2024",Day To Day (Quad) - Quickley did not play in Sunday's (Jan. 28) game against Atlanta.,2024-01-30,,,,
Isaiah Livers,WAS,"Sun, Jan 28, 2024",Out (Hip) - Livers is out for Monday's (Jan. 29) game against San Antonio.,2024-01-30,,,,
,CHA - G,,,2024-01-30,0.0,LaMelo Ball,24.5,Points
,NYK - G,,,2024-01-30,1.0,Jalen Brunson,31.5,Points
,NYK - G-F,,,2024-01-30,2.0,OG Anunoby,18.5,Points
,NYK - G,,,2024-01-30,3.0,Donte DiVincenzo,14.5,Points
,CLE - G,,,2024-01-30,4.0,Donovan Mitchell,29.5,Points
,LAC - F,,,2024-01-30,5.0,Kawhi Leonard,24.5,Points
,CLE - C,,,2024-01-30,6.0,Jarrett Allen,16.5,Points
,LAC - G,,,2024-01-30,7.0,James Harden,18.5,Points
,CLE - G-F,,,2024-01-30,8.0,Max Strus,11.5,Points
,LAC - G-F,,,2024-01-30,9.0,Terance Mann,8.5,Points
,CLE - F-G,,,2024-01-30,10.0,Isaac Okoro,7.5,Points
,LAC - F-C,,,2024-01-30,11.0,Mason Plumlee,7.5,Points
,LAC - F,,,2024-01-30,12.0,Paul George,19.0,Points
,LAC - G,,,2024-01-30,13.0,Norman Powell,12.5,Points
,LAC - G,,,2024-01-30,14.0,Russell Westbrook,11.5,Points
,MIA - C-F,,,2024-01-30,15.0,Bam Adebayo,19.5,Points
,PHX - G,,,2024-01-30,16.0,Bradley Beal,17.5,Points
,MIA - F,,,2024-01-30,17.0,Jimmy Butler,20.5,Points
,PHX - G,,,2024-01-30,18.0,Devin Booker,30.5,Points
,MIA - G,,,2024-01-30,19.0,Terry Rozier,15.5,Points
,PHX - G,,,2024-01-30,20.0,Grayson Allen,11.5,Points
,MIA - G,,,2024-01-30,21.0,Tyler Herro,19.5,Points
,PHX - C,,,2024-01-30,22.0,Jusuf Nurkic,10.5,Points
,PHX - F,,,2024-01-30,23.0,Kevin Durant,24.0,Points
,BKN - F,,,2024-01-30,24.0,Cameron Johnson,12.5,Points
,UTA - G,,,2024-01-30,25.0,Collin Sexton,20.5,Points
,BKN - G,,,2024-01-30,26.0,Cam Thomas,23.5,Points
,UTA - F-C,,,2024-01-30,27.0,John Collins,14.0,Points
,BKN - F,,,2024-01-30,28.0,Mikal Bridges,22.5,Points
,UTA - F-C,,,2024-01-30,29.0,Lauri Markkanen,24.5,Points
,BKN - C,,,2024-01-30,30.0,Nicolas Claxton,13.5,Points
,UTA - F,,,2024-01-30,31.0,Simone Fontecchio,8.5,Points
,BKN - G,,,2024-01-30,32.0,Spencer Dinwiddie,12.5,Points
,NOP - F,,,2024-01-30,33.0,Brandon Ingram,19.5,Points
,BOS - G-F,,,2024-01-30,34.0,Jaylen Brown,23.5,Points
,NOP - G,,,2024-01-30,35.0,CJ McCollum,16.5,Points
,BOS - F-G,,,2024-01-30,36.0,Jayson Tatum,28.5,Points
,NOP - G-F,,,2024-01-30,37.0,Herbert Jones,9.0,Points
,BOS - F-C,,,2024-01-30,38.0,Kristaps Porzingis,18.5,Points
,NOP - C,,,2024-01-30,39.0,Jonas Valanciunas,11.5,Points
,NOP - F,,,2024-01-30,40.0,Zion Williamson,20.5,Points
,SAS - F-C,,,2024-01-30,41.0,Victor Wembanyama,25.5,Points
,WAS - F,,,2024-01-30,42.0,Kyle Kuzma,23.5,Points
,SAS - G,,,2024-01-30,43.0,Devin Vassell,19.5,Points
,WAS - G,,,2024-01-30,44.0,Jordan Poole,16.5,Points
,SAS - F,,,2024-01-30,45.0,Jeremy Sochan,13.5,Points
,WAS - F,,,2024-01-30,46.0,Deni Avdija,12.5,Points
,SAS - G,,,2024-01-30,47.0,Tre Jones,11.5,Points
,WAS - G,,,2024-01-30,48.0,Tyus Jones,12.5,Points
,WAS - F-C,,,2024-01-30,49.0,Daniel Gafford,11.5,Points
,SAC - G,,,2024-01-30,50.0,De'Aaron Fox,25.5,Points
,MEM - F-C,,,2024-01-30,51.0,Jaren Jackson Jr.,27.5,Points
,SAC - C,,,2024-01-30,52.0,Domantas Sabonis,18.5,Points
,MEM - G-F,,,2024-01-30,53.0,Luke Kennard,13.5,Points
,SAC - F,,,2024-01-30,54.0,Harrison Barnes,14.5,Points
,MEM - F,,,2024-01-30,55.0,Santi Aldama,12.5,Points
,SAC - F,,,2024-01-30,56.0,Keegan Murray,15.5,Points
,SAC - G-F,,,2024-01-30,57.0,Kevin Huerter,11.5,Points
,MIN - G,,,2024-01-30,58.0,Anthony Edwards,27.5,Points
,OKC - C-F,,,2024-01-30,59.0,Chet Holmgren,15.5,Points
,MIN - F,,,2024-01-30,60.0,Jaden McDaniels,10.5,Points
,OKC - G-F,,,2024-01-30,61.0,Jalen Williams,19.5,Points
,MIN - C-F,,,2024-01-30,62.0,Karl-Anthony Towns,23.5,Points
,OKC - G,,,2024-01-30,63.0,Josh Giddey,9.5,Points
,MIN - G,,,2024-01-30,64.0,Mike Conley,10.0,Points
,OKC - G,,,2024-01-30,65.0,Luguentz Dort,8.5,Points
,MIN - C,,,2024-01-30,66.0,Rudy Gobert,14.5,Points
,OKC - G,,,2024-01-30,67.0,Shai Gilgeous-Alexander,31.5,Points
,HOU - C,,,2024-01-30,68.0,Alperen Sengun,21.5,Points
,LAL - F,,,2024-01-30,69.0,LeBron James,24.5,Points
,HOU - G,,,2024-01-30,70.0,Jalen Green,19.0,Points
,LAL - F-C,,,2024-01-30,71.0,Anthony Davis,24.5,Points
,HOU - G,,,2024-01-30,72.0,Fred VanVleet,15.0,Points
,LAL - G,,,2024-01-30,73.0,D'Angelo Russell,18.5,Points
,HOU - F,,,2024-01-30,74.0,Jabari Smith Jr.,12.5,Points
,LAL - G,,,2024-01-30,75.0,Austin Reaves,14.5,Points
,HOU - G-F,,,2024-01-30,76.0,Dillon Brooks,12.5,Points
,LAL - F,,,2024-01-30,77.0,Taurean Prince,8.5,Points
,DAL - F-G,,,2024-01-30,78.0,Luka Doncic,37.5,Points
,ORL - F,,,2024-01-30,79.0,Paolo Banchero,24.5,Points
,DAL - C,,,2024-01-30,80.0,Dereck Lively II,9.0,Points
,ORL - F,,,2024-01-30,81.0,Franz Wagner,19.5,Points
,ORL - G,,,2024-01-30,82.0,Markelle Fultz,11.5,Points
,DAL - G,,,2024-01-30,83.0,Josh Green,10.5,Points
,DAL - F,,,2024-01-30,84.0,Derrick Jones Jr.,10.0,Points
,DAL - G-F,,,2024-01-30,85.0,Tim Hardaway Jr.,17.5,Points
,DEN - C,,,2024-01-30,86.0,Nikola Jokic,27.5,Points
,MIL - F,,,2024-01-30,87.0,Giannis Antetokounmpo,31.5,Points
,DEN - G,,,2024-01-30,88.0,Jamal Murray,24.5,Points
,MIL - G,,,2024-01-30,89.0,Damian Lillard,25.5,Points
,DEN - F,,,2024-01-30,90.0,Michael Porter Jr.,15.5,Points
,MIL - F,,,2024-01-30,91.0,Khris Middleton,17.5,Points
,DEN - F,,,2024-01-30,92.0,Aaron Gordon,13.5,Points
,MIL - C,,,2024-01-30,93.0,Brook Lopez,11.5,Points
,DEN - G,,,2024-01-30,94.0,Kentavious Caldwell-Pope,10.5,Points
,MIL - G,,,2024-01-30,95.0,Malik Beasley,8.5,Points
,POR - G,,,2024-01-30,96.0,Anfernee Simons,22.5,Points
,PHI - C-F,,,2024-01-30,97.0,Joel Embiid,36.5,Points
,POR - F,,,2024-01-30,98.0,Jerami Grant,19.5,Points
,POR - G,,,2024-01-30,99.0,Malcolm Brogdon,15.5,Points
,POR - C,,,2024-01-30,100.0,Deandre Ayton,13.5,Points
,CHA - G,,,2024-01-30,101.0,LaMelo Ball,5.0,Rebounds
,NYK - G-F,,,2024-01-30,102.0,OG Anunoby,4.5,Rebounds
,NYK - G,,,2024-01-30,103.0,Donte DiVincenzo,3.5,Rebounds
,CLE - G,,,2024-01-30,104.0,Donovan Mitchell,4.5,Rebounds
,LAC - F,,,2024-01-30,105.0,Kawhi Leonard,6.0,Rebounds
,CLE - C,,,2024-01-30,106.0,Jarrett Allen,11.0,Rebounds
,LAC - G,,,2024-01-30,107.0,James Harden,4.5,Rebounds
,CLE - G-F,,,2024-01-30,108.0,Max Strus,3.5,Rebounds
,CLE - F-G,,,2024-01-30,109.0,Isaac Okoro,2.5,Rebounds
,LAC - F-C,,,2024-01-30,110.0,Mason Plumlee,7.0,Rebounds
,LAC - F,,,2024-01-30,111.0,Paul George,4.5,Rebounds
,LAC - G,,,2024-01-30,112.0,Norman Powell,2.5,Rebounds
,LAC - G,,,2024-01-30,113.0,Russell Westbrook,5.0,Rebounds
,LAC - F-C,,,2024-01-30,114.0,Daniel Theis,4.5,Rebounds
,MIA - C-F,,,2024-01-30,115.0,Bam Adebayo,10.5,Rebounds
,PHX - G,,,2024-01-30,116.0,Bradley Beal,4.0,Rebounds
,MIA - F,,,2024-01-30,117.0,Jimmy Butler,5.0,Rebounds
,PHX - G,,,2024-01-30,118.0,Devin Booker,4.5,Rebounds
,MIA - G,,,2024-01-30,119.0,Tyler Herro,5.0,Rebounds
,PHX - C,,,2024-01-30,120.0,Jusuf Nurkic,10.0,Rebounds
,PHX - F,,,2024-01-30,121.0,Kevin Durant,6.5,Rebounds
,UTA - F-C,,,2024-01-30,122.0,John Collins,8.0,Rebounds
,BKN - F,,,2024-01-30,123.0,Mikal Bridges,4.5,Rebounds
,UTA - F-C,,,2024-01-30,124.0,Lauri Markkanen,9.0,Rebounds
,BKN - C,,,2024-01-30,125.0,Nicolas Claxton,11.5,Rebounds
,UTA - F,,,2024-01-30,126.0,Simone Fontecchio,3.5,Rebounds
,BKN - G,,,2024-01-30,127.0,Spencer Dinwiddie,2.5,Rebounds
,NOP - F,,,2024-01-30,128.0,Brandon Ingram,5.0,Rebounds
,BOS - G-F,,,2024-01-30,129.0,Jaylen Brown,5.5,Rebounds
,BOS - F-G,,,2024-01-30,130.0,Jayson Tatum,8.5,Rebounds
,BOS - F-C,,,2024-01-30,131.0,Kristaps Porzingis,7.0,Rebounds
,NOP - C,,,2024-01-30,132.0,Jonas Valanciunas,8.5,Rebounds
,NOP - F,,,2024-01-30,133.0,Zion Williamson,5.0,Rebounds
,SAS - F-C,,,2024-01-30,134.0,Victor Wembanyama,12.0,Rebounds
,WAS - F,,,2024-01-30,135.0,Kyle Kuzma,7.0,Rebounds
,SAS - F,,,2024-01-30,136.0,Jeremy Sochan,6.0,Rebounds
,WAS - F,,,2024-01-30,137.0,Deni Avdija,6.0,Rebounds
,SAS - G,,,2024-01-30,138.0,Tre Jones,3.5,Rebounds
,WAS - F-C,,,2024-01-30,139.0,Daniel Gafford,8.0,Rebounds
,SAC - G,,,2024-01-30,140.0,De'Aaron Fox,4.5,Rebounds
,MEM - F-C,,,2024-01-30,141.0,Jaren Jackson Jr.,6.0,Rebounds
,SAC - C,,,2024-01-30,142.0,Domantas Sabonis,13.0,Rebounds
,SAC - F,,,2024-01-30,143.0,Harrison Barnes,3.5,Rebounds
,MEM - F,,,2024-01-30,144.0,Santi Aldama,6.0,Rebounds
,SAC - F,,,2024-01-30,145.0,Keegan Murray,6.5,Rebounds
,MEM - G-F,,,2024-01-30,146.0,Vince Williams Jr.,6.5,Rebounds
,MEM - G-F,,,2024-01-30,147.0,John Konchar,5.0,Rebounds
,MIN - G,,,2024-01-30,148.0,Anthony Edwards,5.0,Rebounds
,OKC - C-F,,,2024-01-30,149.0,Chet Holmgren,7.0,Rebounds
,OKC - G-F,,,2024-01-30,150.0,Jalen Williams,4.0,Rebounds
,MIN - C-F,,,2024-01-30,151.0,Karl-Anthony Towns,8.5,Rebounds
,OKC - G,,,2024-01-30,152.0,Josh Giddey,6.0,Rebounds
,MIN - G,,,2024-01-30,153.0,Mike Conley,2.5,Rebounds
,MIN - C,,,2024-01-30,154.0,Rudy Gobert,13.0,Rebounds
,OKC - G,,,2024-01-30,155.0,Shai Gilgeous-Alexander,5.0,Rebounds
,HOU - C,,,2024-01-30,156.0,Alperen Sengun,9.5,Rebounds
,LAL - F,,,2024-01-30,157.0,LeBron James,7.0,Rebounds
,HOU - G,,,2024-01-30,158.0,Jalen Green,4.5,Rebounds
,LAL - F-C,,,2024-01-30,159.0,Anthony Davis,12.0,Rebounds
,LAL - G,,,2024-01-30,160.0,D'Angelo Russell,2.5,Rebounds
,HOU - F,,,2024-01-30,161.0,Jabari Smith Jr.,8.5,Rebounds
,LAL - F,,,2024-01-30,162.0,Taurean Prince,2.5,Rebounds
,DAL - F-G,,,2024-01-30,163.0,Luka Doncic,9.5,Rebounds
,ORL - F,,,2024-01-30,164.0,Paolo Banchero,6.5,Rebounds
,DAL - C,,,2024-01-30,165.0,Dereck Lively II,7.5,Rebounds
,ORL - F,,,2024-01-30,166.0,Franz Wagner,5.0,Rebounds
,DAL - G,,,2024-01-30,167.0,Josh Green,3.5,Rebounds
,DAL - G-F,,,2024-01-30,168.0,Tim Hardaway Jr.,3.5,Rebounds
,DEN - C,,,2024-01-30,169.0,Nikola Jokic,12.0,Rebounds
,MIL - F,,,2024-01-30,170.0,Giannis Antetokounmpo,11.5,Rebounds
,MIL - G,,,2024-01-30,171.0,Damian Lillard,3.5,Rebounds
,DEN - F,,,2024-01-30,172.0,Michael Porter Jr.,6.5,Rebounds
,MIL - F,,,2024-01-30,173.0,Khris Middleton,4.0,Rebounds
,DEN - F,,,2024-01-30,174.0,Aaron Gordon,6.0,Rebounds
,MIL - C,,,2024-01-30,175.0,Brook Lopez,5.5,Rebounds
,DEN - G,,,2024-01-30,176.0,Kentavious Caldwell-Pope,2.5,Rebounds
,PHI - C-F,,,2024-01-30,177.0,Joel Embiid,11.5,Rebounds
,POR - C,,,2024-01-30,178.0,Deandre Ayton,10.0,Rebounds
,CHA - G,,,2024-01-30,179.0,LaMelo Ball,38.0,Pts+Rebs+Asts
,NYK - G,,,2024-01-30,180.0,Jalen Brunson,43.5,Pts+Rebs+Asts
,NYK - G-F,,,2024-01-30,181.0,OG Anunoby,25.5,Pts+Rebs+Asts
,NYK - G,,,2024-01-30,182.0,Donte DiVincenzo,21.5,Pts+Rebs+Asts
,CLE - G,,,2024-01-30,183.0,Donovan Mitchell,41.5,Pts+Rebs+Asts
,LAC - F,,,2024-01-30,184.0,Kawhi Leonard,34.5,Pts+Rebs+Asts
,CLE - C,,,2024-01-30,185.0,Jarrett Allen,30.5,Pts+Rebs+Asts
,LAC - G,,,2024-01-30,186.0,James Harden,32.5,Pts+Rebs+Asts
,CLE - G-F,,,2024-01-30,187.0,Max Strus,18.5,Pts+Rebs+Asts
,LAC - F-C,,,2024-01-30,188.0,Mason Plumlee,16.5,Pts+Rebs+Asts
,LAC - F,,,2024-01-30,189.0,Paul George,26.0,Pts+Rebs+Asts
,LAC - G,,,2024-01-30,190.0,Norman Powell,16.5,Pts+Rebs+Asts
,LAC - G,,,2024-01-30,191.0,Russell Westbrook,20.5,Pts+Rebs+Asts
,MIA - C-F,,,2024-01-30,192.0,Bam Adebayo,34.5,Pts+Rebs+Asts
,PHX - G,,,2024-01-30,193.0,Bradley Beal,26.5,Pts+Rebs+Asts
,MIA - F,,,2024-01-30,194.0,Jimmy Butler,30.5,Pts+Rebs+Asts
,PHX - G,,,2024-01-30,195.0,Devin Booker,41.5,Pts+Rebs+Asts
,MIA - G,,,2024-01-30,196.0,Terry Rozier,25.0,Pts+Rebs+Asts
,PHX - G,,,2024-01-30,197.0,Grayson Allen,17.5,Pts+Rebs+Asts
,MIA - G,,,2024-01-30,198.0,Tyler Herro,28.5,Pts+Rebs+Asts
,PHX - C,,,2024-01-30,199.0,Jusuf Nurkic,23.5,Pts+Rebs+Asts
,PHX - F,,,2024-01-30,200.0,Kevin Durant,35.5,Pts+Rebs+Asts
,BKN - F,,,2024-01-30,201.0,Cameron Johnson,19.0,Pts+Rebs+Asts
,UTA - G,,,2024-01-30,202.0,Collin Sexton,29.0,Pts+Rebs+Asts
,BKN - G,,,2024-01-30,203.0,Cam Thomas,30.0,Pts+Rebs+Asts
,UTA - F-C,,,2024-01-30,204.0,John Collins,23.5,Pts+Rebs+Asts
